id,road_type,num_lanes,curvature,speed_limit,lighting,weather,road_signs_present,public_road,time_of_day,holiday,school_season,num_reported_accidents,accident_risk
0,urban,2,0.06,35,daylight,rainy,False,True,afternoon,False,True,1,0.13
1,urban,4,0.99,35,daylight,clear,True,False,evening,True,True,0,0.35
2,rural,4,0.63,70,dim,clear,False,True,morning,True,False,2,0.3
3,highway,4,0.07,35,dim,rainy,True,True,morning,False,False,1,0.21
4,rural,1,0.58,60,daylight,foggy,False,False,evening,True,False,1,0.56
5,highway,3,0.54,70,night,foggy,True,False,morning,False,True,0,0.61
6,highway,1,0.04,45,night,foggy,False,True,morning,True,False,2,0.2
7,highway,2,0.33,45,daylight,clear,False,True,evening,False,True,0,0.16
8,rural,3,0.63,25,dim,clear,True,False,evening,True,True,2,0.18
9,urban,4,0.38,45,dim,clear,True,True,afternoon,True,True,2,0.15
10,highway,1,0.45,45,dim,clear,False,False,afternoon,True,False,2,0.06
11,highway,4,0.26,60,daylight,foggy,True,False,evening,False,False,0,0.32
12,urban,4,0.84,25,dim,rainy,True,True,morning,False,True,2,0.37
13,rural,4,0.14,60,daylight,foggy,True,True,evening,True,True,1,0.28
14,highway,3,0.08,45,dim,foggy,False,False,evening,True,False,1,0.17
15,urban,1,0.52,60,daylight,clear,False,True,afternoon,True,False,1,0.39
16,highway,3,0.35,35,daylight,foggy,False,False,evening,True,True,1,0.23
17,rural,4,0.68,35,night,clear,False,True,morning,True,False,3,0.51
18,rural,3,0.72,60,night,foggy,True,True,afternoon,True,True,0,0.63
19,highway,2,0.86,70,night,clear,False,False,evening,False,False,3,0.79
20,highway,2,0.06,60,dim,clear,False,True,afternoon,False,False,1,0.34
21,highway,1,0.17,45,daylight,foggy,False,False,evening,True,True,2,0.17
22,rural,2,0.16,35,night,foggy,True,False,morning,False,False,1,0.29
23,urban,1,0.41,60,night,foggy,True,False,afternoon,True,False,0,0.68
24,highway,2,0.45,25,dim,foggy,True,True,morning,False,False,0,0.35
25,highway,1,0.49,70,daylight,foggy,True,True,evening,False,False,1,0.4
26,rural,4,0.39,70,dim,clear,False,False,evening,True,True,2,0.24
27,rural,3,0.7,60,daylight,rainy,False,False,morning,True,False,1,0.51
28,urban,3,0.12,25,night,foggy,True,True,morning,False,False,2,0.33
29,highway,2,0.63,70,daylight,foggy,False,False,morning,False,False,1,0.41
30,highway,2,0.95,45,daylight,foggy,True,False,evening,True,True,2,0.38
31,rural,1,0.01,60,dim,clear,False,False,evening,False,True,1,0.0
32,highway,1,0.45,35,night,foggy,True,False,morning,True,True,2,0.47
33,urban,3,0.1,45,night,rainy,True,True,morning,False,True,1,0.28
34,highway,1,0.24,70,daylight,clear,True,False,evening,False,False,1,0.28
35,highway,3,0.56,35,daylight,rainy,False,True,afternoon,False,False,1,0.29
36,rural,1,0.53,45,daylight,foggy,True,True,morning,True,True,1,0.31
37,rural,1,0.29,25,dim,rainy,False,True,afternoon,True,False,2,0.18
38,highway,3,0.52,45,daylight,rainy,False,True,evening,True,True,1,0.26
39,urban,3,0.35,25,daylight,rainy,False,False,morning,False,True,2,0.19
40,highway,1,0.39,70,dim,clear,False,True,morning,True,False,1,0.44
41,urban,2,0.73,70,daylight,clear,False,False,afternoon,False,True,0,0.49
42,urban,3,0.67,70,night,foggy,False,True,evening,False,True,0,0.73
43,highway,2,0.04,45,dim,rainy,True,True,evening,False,True,0,0.07
44,urban,1,0.6,45,night,clear,True,True,afternoon,False,False,3,0.57
45,highway,2,0.54,60,night,clear,False,True,morning,True,True,1,0.63
46,urban,1,0.01,35,night,clear,True,False,afternoon,True,False,0,0.0
